"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","Beskrivelse"
"04/12/2017 - 14:20","06/11/2023 - 08:14","Nordlandsbadet","Bodø","trine@bodospektrum.no","Bading","✔","
 
Trivselsledere kan ta med seg en venn/klassekamerat/søsken til TL pris, ved fremvisning av gyldig kulturkort (maks. 2 billetter per kulturkort).
Trivselsledere under 10 år: 100 kroner per. billett
Trivselsledere 10-15 år: 130 kroner per billett
Gjelder kun mandag til torsdag, ikke i helg og skoleferie.
 TL under 10 år må ha følge av badende voksen over 16 år.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:03","Bodø håndballklubb","Bodø","taa@bhk.no","Håndball","✔","


bodohandballklubb.png

      



 
Gratis inngang for TL, såfremt det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:02","Bodø Actionhall","Bodø","post@bodoaction.no","Lasertag","✔","


bodoactionhall.jpg

      



 
2 for 1 på Lasertag alle dager for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Bratten Aktivitetspark","Bodø","postbratten@bodo.kommune.no","Aktivitetspark","✔","


bratten.jpg

      



 
Tilbyr konseptet ""67 grader nord"" for skolene. Dette tilbudet passer best til takk for innsatsen-dagen for trivselslederne.
"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Fauske kino","Fauske","bjorn.skoglund@fauske.kommune.no","Kino","✔","


fauskekino.png

      



 
20 kroner rabatt for TL på visninger tirsdager og torsdager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","04/07/2025 - 08:00","Holtanlia alpinsenter","Fauske","","Skitrekk","✔","


holtannliaalpin.png

      



Dagskort: 150kr. Halvdagskort 110kr. Kveldskort: 90kr. Klippekort 10 klipp: 800kr
Husk å ha med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 12:57","Harstad klatreklubb","Harstad","hkkdropin@gmail.com","Klatring","✔","


harstadklatreklubb.jpg

      



Halv pris for TL og alle personer i følge på klubbens arrangementer.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 12:58","Trastad samlinger","Harstad","ragnhild@stmu.no","Museum","✔","


trastadsammlinger.png

      



Gratis adgang for TL. Besøket må avtales ved å kontakte museet på 99384600.
"
"04/12/2017 - 14:20","16/01/2025 - 14:57","Sollifjellet/Sollia alpinsenter","Harstad","post@sollifjellet.no","Skitrekk","✔","


sollifjellet_logo_farge_275x80px_ny.png

      



 
Alle TL som fremviser gyldig kulturkort får halv pris på heiskort i ukedager!
 
NB! Dette gjelder ikke skoleferier som juleferie, vinterferie og påskeferie. 
"
"04/12/2017 - 14:20","21/11/2024 - 12:58","Harstad kino","Harstad","post@harstadkulturhus.no","Kino","✔","


harstadkino.jpg

      



Halv pris for TL og en venn, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","17/02/2026 - 09:39","Trondenes historiske senter","Harstad","post@stmu.no","Museum","✔","


trondeneshistoriske.png

      



Alle TL som fremviser gyldig kulturkort får gratis inngang på museet og middelaldergården. 
"
"04/12/2017 - 14:20","11/11/2024 - 14:12","Levanger bowling","Levanger","post@levangerbowling.no","Bowling","✔","


levangerbowling.png

      



Levanger bowling gir trivselsledere 2 serier med chips&slush til 175 kroner.Denne prisen gjelder kun trivselsledere med gyldig kulturkort. Avtalen kan ikke benyttes i helgene.
"
"04/12/2017 - 14:20","18/05/2022 - 10:04","Levanger håndball","Levanger","adm@lhk.no","Håndball","✔","


levanger_handball.jpg

      



Gratis inngang for TL og en venn opp til 16 år på kampdager såfremt det er ledige plasser.
"
"04/12/2017 - 14:20","16/06/2025 - 08:38","Trønderhallen","Levanger","","Svømming","✖","


tronderhallen.jpg

      



Halv pris på inngang til svømmehall samt klatrevegg for TL.
"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Finnsnes kino","Senja kommune","","Kino","✔","


finnsneskino.png

      



2 for 1 tilbud for TL.
"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Midt-Troms paintball","Senja kommune","midt.troms.pbk@gmail.com","Paintball","✔","


midttromspaintball.png

      



Gratis reball på søndager for TL i vintersesongen. Aldergrense 12 år, 10 år hvis foresatt er med på banen. Bestilling gjøres på tlf. 93616399.
"
"04/12/2017 - 14:20","03/07/2025 - 11:50","Orkla industrimuseum","Orkland","","Museum","✔","


orkla_industrimuseum.png

      



 
Gratis adgang for TL på rutetog, informasjonssenteret og Gammelgruva. Gjelder ordinær åpningstid.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:07","Glomfjord kino","Meløy","tronarnt@hotmail.com","Kino","✔","


meloykommune.png

      



 
Trivselsledere får 10 kroner rabatt om de har med seg en venn. Ved visning av 3D-filmer får man også gratis 3D-briller.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","20/10/2025 - 08:25","Aurora kino","Narvik","post@aurorakino.no","Kino","✔","


auroranarvik.png

      



Kinobillett til 115 kr for TL samt 115kr for en venn eller voksen. 
Husk og ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","20/11/2024 - 16:17","Knyken skisenter","Orkland","","Skitrekk","✔","


logo.png

      



 
100 kroner rabatt på sesongkort for TL ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","18/01/2022 - 11:46","Polarsirkelen golf","Rana","post@polarsirkelengolf.no","Golf","✔","


polarsirkelengolf.png

      



Tilbyr gratis rangekort på Torsdagsgolfen med lett innføring i teknikk, regler o.s.v. Der vil én av klubbens medlemmer være tilstede og undervise, forklare og hjelpe til.
"
"04/12/2017 - 14:20","10/06/2025 - 11:00","Rana kinoteater","Rana","kino@rana.kommune.no","Kino/Teater","✔","


ranakino.png

      



 
Halv pris for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","05/09/2025 - 17:33","Rana paintballklubb","Rana","kontakt@rpbk.net","Paintball","✖","


ranapaintball.jpg

      



 
Kom to, betal for én - Treningstid: tirsdager kl. 18.00-20.00 - For spilling utenom treningstid, må man være minst seks personer - Må ha med underskrift fra foreldre - Kontakt tlf: 971 58 566 eller mail:kontakt@rpbk.net
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:36","Setergrotta","Rana","info@setergrotta.no","Grottevandring","✔","


setergrotta.png

      



 
Halv pris for TL forutsatt at man bestiller på nett eller mobil på forhånd.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","08/10/2025 - 12:46","Moheia bad","Rana","Kirti.Catrin.Magnussen@rana.kommune.no","Bading","✔","


moheia_bad.jpg

      



Halv pris for TL alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 15:23","Nordland teater","Rana","post@nordlandteater.no","Teater","✔","


nordlandteater.png

      



 
60 kroner rabatt for TL på alle forestillinger i regi av Nordland Teater.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","12/09/2024 - 22:00","Stall selnes","Indre Fosen kommune","","Ridetur","✖","2 timers ridetur på islandshest. Ta kontakt med Hanne på tlf. 97498390 for å avtale tidspunkt.
"
"04/12/2017 - 14:20","18/10/2023 - 15:05","Bowling1 Sortland","Sortland","sortland@bowling1.no","Bowling","✔","


bowling1_sortland.png

      



 
Trivselsledere betaler 25 kr for 1 runde bowling (inkludert leie av sko). Tilbudet gjelder alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","28/10/2025 - 13:34","Sam lekeland","Harstad","post@samlekeland.no","Lekeland","✖","


samlekeland.jpg

      



 
20% rabatt for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/01/2022 - 09:03","Kulturfabrikken","Sortland","postmottak@kulturfabrikkensortland.no","Kino/forestillinger","✔","


kulturfabrikkensortland.jpg

      



Rabatt for TL på forestillinger merket kulturkort.
"
"04/12/2017 - 14:20","18/11/2024 - 12:50","Steinkjer golfklubb","Steinkjer","runegjermo@gmail.com","Golf","✖","Gratis Veien til golf-kurs til alle interesserte TL.
"
"04/12/2017 - 14:20","12/09/2024 - 21:54","Dampsaga bad","Steinkjer","kontakt@dampsaga-bad.no","Bad","✔","


dampsaga.png

      



 
Halv pris for TL alle dager ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","29/11/2023 - 10:59","Steinkjer kino","Steinkjer","ketil.tronstad@steinkjer.kommune.no","Kino","✔","


steinkjer_kino.png

      



 
Steinkjer kino gir trivselslederne pluss en venn eller voksen 25 kroner hver i rabatt ved fremvisning av gyldig kulturkort. 
"
"26/04/2022 - 14:43","20/06/2025 - 15:33","Lykkeland","Steinkjer","lykkeland.steinkjer@gmail.com","Lekeland","✔","


lykkeland_park.jpg

      



 Ved fremvisning av gyldig kulturkort betaler trivsesledere 60,- for inng.lekepark og samme med bowlingspill inkl.sko, og laserspill 60,- pr./pers./spill.
"
"04/12/2017 - 14:20","25/03/2019 - 15:02","Egge Museum","Steinkjer","eggemuseum@snk.no","Museum","✔","Gratis inngang på arrangementene Barnas dag, Advent og Familiedag for TL.
"
"04/12/2017 - 14:20","02/12/2021 - 11:47","Bowlinghallen","Stjørdal","post@bowlinghallen.no","Bowling","✔","


bowlinghallen.jpg

      



Gratis spill for TL i følge av betalende venn/voksen. Forutsetter ledig kapasitet.
"
"04/12/2017 - 14:20","02/12/2021 - 12:18","Daltrøa skitrekk","Stjørdal","","Skitrekk","✔","


daltroaski.jpg

      



25 % rabatt på sesongkort for TL.
"
"04/12/2017 - 14:20","29/11/2023 - 11:00","Kimen kino","Stjørdal","kino@kimenkino.no","Kino","✔","


kimen_kino.png

      



 
Kimen kino gir trivselsederne pluss en venn eller voksen 25 kroner hver i rabatt ved fremvisning av gyldig kulturkort. 
"
"04/12/2017 - 14:20","23/10/2023 - 09:30","Sørfoldhallen folkebad","Sørfold","POST@SORFOLD.KOMMUNE.NO","Bading","✔","


saerfoldhallen.jpg

      



Halv pris for TL, ved fremvisning av gyldig kulturkort. Åpent torsdager.
"
"04/12/2017 - 14:20","26/10/2023 - 16:57","Sørfold paintballklubb","Sørfold","jahn-otto.fiskvik@online.no","Paintball","✔","


sorfoldpaintball.png

      



 
Trivselsledere får 50 kroner avslag på åpne arrangementer, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Barentsbadet","Sør-Varanger","hmi@svk.no","Bading","✔","


barentshallene.png

      



50 kroner i rabatt på inngang for TL.
"
"04/12/2017 - 14:20","20/10/2025 - 08:24","Aurora kino Kirkenes","Sør-Varanger","","Kino","✔","


aurorakirkenes.png

      



Kinobillett til 115 kr for TL samt 115kr for en venn eller voksen. 
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","03/07/2025 - 15:13","Kirkenes bowling","Sør-Varanger","","Kino","✔","


kirkenesbowling.png

      



2 for 1 tilbud for TL og en venn.
"
"04/12/2017 - 14:20","20/10/2025 - 08:24","Aurora kino fokus","Tromsø","post@aurorakino.no","Kino","✔","


aurorakino.png

      



Kinobillett til 115 kr for TL samt 115kr for en venn eller voksen. 
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 13:01","Nordnorsk vitensenter","Tromsø","tove@nordnorsk.vitensenter.no","Vitensenter","✔","


vitensenteretnordnorsk.png

      



 
Gratis inngang for TL alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 13:02","Tromsø golfklubb","Tromsø","bjorn@tromsogolf.com","Golf","✔","


tromsogolfklubb.png

      



Gir gratis opplæring, medlemskap og greenfee. Medlemskap følger av å delta på juniortreningen.
"
"04/12/2017 - 14:20","21/11/2024 - 13:00","Storm Tromsø","Tromsø","storm@tromsostorm.no","Basketball","✔","


stormtromso.png

      



 
Gratis inngang for TL, såfremt det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","04/07/2025 - 08:16","Tromsø IL","Tromsø","","Fotball","✔","


til.jpg

      



 
Gratis inngang for TL, såfremt det er ledige plasser på kampdag. Billetter hentes i billettluka på Alfheim stadion minimum en halvtime før kampstart.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","04/07/2025 - 09:21","TUIL","Tromsø","","Fotball","✔","


tuil.png

      



 
Gratis inngang for TL, såfremt det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 13:02","Polaria i tromsø","Tromsø","booking@polaria.no","Opplevelsessenter","✔","


polaria.png

      



Halv pris for TL alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 13:00","Kjæreng Gård","Tromsø","post@tromsominizoo.no","Gårdsbesøk","✔","


kjaereng_gard_logo.jpeg

      



 
Gratis inngang for TL alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","21/11/2024 - 13:03","Tromsø bowling ","Tromsø","post@tromsobowling.no","Bowling","✔","


tromsobowling.jpg

      



 
Halv pris for TL alle dager.
Husk å ta med gyldig kulturkort. 
"
"04/12/2017 - 14:20","04/07/2025 - 09:22","Rosenborg","Trondheim","","Fotball","✔","


rbk.png

      



Gratis inngang for TL på kampdager såfremt det er ledige plasser. Billettene hentes ut senest 90 minutter før kampstart i billettlukene på Lerkendal.
"
"04/12/2017 - 14:20","17/12/2021 - 11:05","Ranheim fotball","Trondheim","post@ranheimfotball.no","Fotball","✔","


ranheimfotball.jpg

      



Gratis inngang for TL på kampdager såfremt det er ledige plasser.
"
"04/12/2017 - 14:20","12/09/2024 - 21:56","Husebybadet","Trondheim","bydrift.postmottak@trondheim.kommune.no","Svømmehall","✔","


husebybadet.jpg

      



 
Gratis adgang for TL i ordinær åpningstid ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","16/06/2025 - 08:35","Vitensenteret i Trondheim","Trondheim","post@vitensenteret.com","Vitensenter","✖","


vitensenterettrondheim.png

      



Gratis adgang for TL.
"
"04/12/2017 - 14:20","16/12/2025 - 10:22","Danseriet","Trondheim","danseriet@gmail.com","Dansing","✔","


logo_danseriet.png

      



Trivselsledere får halv pris på semesteravgiften på ett dansekurs når dette er varslet ved påmelding og gyldig kulturkort fremvist ved semesterstart.
"
"04/12/2017 - 14:20","02/12/2021 - 12:14","Centrum bowling","Trondheim","post@centrumbowling.no","Bowling","✔","


centrumboeling.png

      



Halv pris før kl 18 for TL. Gjelder mandag til fredag med unntak av skolefrie dager.
"
"04/12/2017 - 14:20","15/05/2026 - 16:05","Sommerseter golfbane","Trondheim","post@golfklubben.no","Golf","✖","


sommerseter_golfklubb.jpg

      



To gratis polletter til driving range for TL.
"
"04/12/2017 - 14:20","29/11/2023 - 10:58","Trondheim kino","Trondheim","kino@trondheimkino.no","Kino","✔","


trondheim_kino.png

      



 
Trondheim kino gir trivselslederne pluss en venn eller voksen 25 kroner hver i rabatt ved fremvisning av gyldig kulturkort. 
"
"04/12/2017 - 14:20","30/04/2025 - 10:44","Lucky Bowl","Trondheim","","Bowling","✔","


lucky_bowl.jpeg

      



 
Kjøp 2 serier - få spill så mye du vil!
Gjelder ved drop-in og ved ledig kapasitet.
 
Location: Heggstadmoen 55, 7080 Trondheim.
 
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","10/03/2026 - 09:44","Leangen curlinghall","Trondheim","post@trondheimcurling.no","Curling","✔","


leangencurlingbane.jpg

      



NB - VIKTIG! 
Denne avtalen er på pause for trivselsledere frem til fredag 8. mai 2026 grunnet stor pågang. Fra fredag 8. mai 2026 gjelder følgende avtale: 
 
Leangen curlinghall gir trivselsledere og inntil 3 venner gratis curling fredager 15.30 - 17.00. Hele klassen kan spille i skoletiden for 500 kroner (Inkl. instruksjon og lån av utstyr) hvis de kommer med en TL. Kontakt Trondheim Curling på forhånd: event@trondheimcurling.no
 
"
"04/12/2017 - 14:20","26/10/2023 - 10:23","Kippermoen folkebad","Vefsn","post@vefsn.kommune.no","Bading","✔","


kippermoenbad.jpg

      



 
Klippekort med fire gratis besøk for TL.
Husk å ha med gyldig kulturkort.
"
"04/12/2017 - 14:20","06/11/2023 - 07:59","Trollvar","Vefsn","trollvar77@gmail.com","Aktivitetspark","✖","


trollvarnaturpark.jpg

      



Paintball for TL fra 12 år og oppover, med skriftlig tillatelse fra foreldre kr. 200.- inkl. 200 baller, markør, maske. Min 6 stk. - Trollvarspennet 143 m langt og nesten 50 m over bakken. Fra 12 år, pris kr. 100.- pr. stk. min 7 stk. - Bueskyting, økskasting, luftgeværskyting (10skudd pr. stk.), sprettert, knivkasting, (her velges det blant 4 øvelser)Fra 12 år, Kr. 80.- pr. stk. minimum 5 stk. - Promillebrillefotball 1time (fra 9 år) minimum 4 stk., pris 250.- - Trå gokart (2), minisykkel (1), hoppepinne (1), rtistsykkel (1), sparkesykkel (1), trehjulssykkel gladiator (1) (fra 5år til 10 år ) kr. 50.- pr. stk. pr. time, minimum 4 stk. - Stolpeklatring og Hi-striker (hvem slår loddet høyest?) fra 12år, pris 60.- pr. stk., minimum 5 stk.
"
"04/12/2017 - 14:20","26/03/2019 - 11:20","Stiklestad nasjonale kultursenter","Verdal","stiklestad@snk.no","Kultursenter","✔","Gratis dagsbillett for TL. Vintersesong: inngang på alle utstillinger. Sommersesong: gratis inngang på utstillinger og gratis adgang til alle daglige aktivitetstilbud på Middelaldergården Stiklastdir og Folkemuseet
"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Figurteateret i Nordland","Vestvågøy","leder.figurteatret@nfk.no","Teater","✔","


figurteater.jpg

      



 
Gratis inngang for TL. 
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","03/04/2024 - 14:31","Stamsund Teaterfestival","Vestvågøy","sissel.stamsund@gmail.com","Teater","✔","


stamsundteaterfestival.png

      



Kom 2 betal for 1. Forhåndsbestill på ticketstamsund@gmail.com om du vil. Husk personlig og gyldig kulturkort når du henter billettene. 
"
"04/12/2017 - 14:20","01/12/2021 - 10:09","Askøyhallen svømmehall","Askøy","askoyhallene@askoy.kommune","Svømming","✔","


askoyhallene.jpg

      



2 for 1 tilbud for TL.
"
"04/12/2017 - 14:20","01/10/2025 - 14:32","Arendal fotball","Arendal","post@arendalfotball.no","Fotball","✔","


arendalfotball.png

      



 
Gratis inngang for trivselsledere på hjemmekamper så fremt det er ledig kapasitet.
 
Husk å ta med gyldig og utfylt Kulturkort.
"
"04/12/2017 - 14:20","01/10/2025 - 14:36","Arendal bowling","Arendal","arendal@bowlinga.no","Bowling","✔","


shutterstock_image_16.jpg

      



 
60 kr per runde med bowling for trivselsledere ved fremvisning av gyldig og utfylt kulturkort. Tilbudet gjelder alle dager.
"
"04/12/2017 - 14:20","26/02/2024 - 13:36","Stinta svømmehall","Arendal","Frode.Harnes@arendal.kommune.no","Svømming","✖","


stinta_svommehall.png

      



Gratis inngang for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","26/01/2022 - 09:30","Brann","Bergen","bergen@torshovsport.no","Fotball","✔","


brann.jpg

      



Gratis inngang for TL når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","27/01/2022 - 10:14","Gimle basket","Bergen","post@gimle.no","Basketball","✔","


gimlebasket.png

      



Gratis adgang for TL når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","24/05/2024 - 09:34","Wasteland","Bergen","post@wasteland.no","Lasertag","✖","


wastelandbergen.jpg

      



TL + 1 venn får 2 spill når man kjøper 1 spill. Gjelder kun dropin og ikke ferier, helligdager og andre skolefrie dager.
"
"04/12/2017 - 14:20","09/09/2024 - 11:58","VilVite","Bergen","rhk@vilvite.no","Opplevelsessenter","✔","


skjermbilde_2024-03-11_kl._11.33.12.png

      



50 % rabatt på billett for korteier aller helger og planleggingsdager. Bruk rabattkoden TL-50 ved bestilling på nett. Tilbudet kan ikke kombineres med andre rabatter, og gyldig TL-kort må fremvises ved ankomst.
Barn under 10 år må ha følge av en voksen.
"
"04/12/2017 - 14:20","29/11/2023 - 09:36","Frøya basket","Bergen","baard@froyabasket.com","Basketball","✔","


froya.png

      



 
Gratis inngang for TL på hjemmekampene i BLNO, så lenge det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort for fremvisning.
"
"04/12/2017 - 14:20","26/01/2022 - 09:30","Bergen golfklubb","Bergen","orjan@bgk.no","Golf","✔","


bergengolfklubb.png

      



2 gratis poletter til driving range, samt gratis utlån av køller.
"
"04/12/2017 - 14:20","21/04/2026 - 10:58","Den Nationale Scene","Bergen","annette.stople@dns.no","Teater","✔","


dns.png

      



 
Se teater på Den Nationale Scene! Velg mellom gratis prøveforestilling, eller kr 190 for ordinær forestilling! 
 
Alle trivselsledere kan benytte seg av inntil 2 billetter på teateret. Velg mellom gratis prøveforestilling (før premiere) eller 2 rabatterte billetter til ordinær spilleperiode. Gjelder alle barneforestillinger på teateret, og forestillingsprogrammet vil variere. 
 
Sjekk www.dns.no for oppdatert forestillingsprogram! Bestill billetter ved å kontakte billettkontoret, enten på dns@dns.no eller per telefon 55 60 70 80. 
 
Varmt velkommen på forestilling! 
"
"04/12/2017 - 14:20","03/07/2025 - 12:04","Vestkanten badeland","Bergen","","Bading","✔","


vestkantenbadeland.png

      



140 kr i inngang for bading mandag til torsdag med unntak av skolens fridager. TL under 10 år kun i følge med badende voksen.
"
"04/12/2017 - 14:20","27/01/2022 - 10:10","FK Fyllingsdalen","Bergen","post@fkfyllingsdalen.no","Fotball","✔","


fkfyllingen.jpg

      



Gratis inngang for TL når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","04/07/2025 - 08:56","FyllingenBergen","Bergen","","Håndball","✔","


fyllingenhandball.jpg

      



Gratis adgang for TL og en venn (barn/voksen) på alle ordinære seriekamper.
"
"04/12/2017 - 14:20","27/01/2022 - 10:16","Tertnes håndball elite","Bergen","kontor@tertnes.no","Håndball","✔","


tertneshandball.jpg

      



Gratis inngang for TL.
"
"04/12/2017 - 14:20","05/11/2021 - 09:19","Bergen stupeklubb","Bergen","dagligleder@bergen-stupeklubb.no","","✖","500 kroner i avslag på nybegynnerkurs i stup for TL.
"
"04/12/2017 - 14:20","02/12/2021 - 11:12","Bergen kino","Bergen","birgitte@bergenkino.no","Kino","✔","


bergenkinoodeon.png

      



20 kroner rabatt for trivselsledere på søndager før kl. 17.30. Billetten må kjøpes direkte i billettluken ved fremleggelse av gyldig kulturkort.
"
"04/12/2017 - 14:20","11/06/2025 - 14:25","Ado arena","Bergen","ado@adoarena.no","","✔","


ado.jpg

      



2 for 1 tilbud for trivselsledere. Gjelder mandag til fredag, og ikke i helg eller skoleferier.
Husk å ta med gyldig og utfylt Kulturkort. 
 
Barn under 12 år må ha følge med en svømmedyktig person på 18 år eller eldre. Barn under 10 år, eller som ikke er svømmedyktig, må være sammen med en badende voksen til enhver tid.
"
"04/12/2017 - 14:20","08/10/2024 - 11:17","Høyt & Lavt Bergen","Bergen","olav@hoytlavt.no","Klatrepark","✔","


bergen.png

      



25% rabatt på inngangsbillett for Trivselsleder ved bestilling på nett. Benytt koden TLHL25.
Gyldig TL-kort fremvises ved ankomst.
 
"
"04/12/2017 - 14:20","10/10/2023 - 14:17","Stavtjørn alpin","Bjerkreim","elin@stavtjornalpin.no","Skitrekk","✔","


logo_av_espen_150x_-_lite.jpeg

      



25 % rabatt på dagskort for TL og en venn t.o.m. 16 år.
"
"04/12/2017 - 14:20","19/02/2026 - 13:23","Bømlo kulturhus","Bømlo","heidi@bomlokulturhus.no","Kino","✔","


1_boki_farge.png

      



Kinobilletter til alle visninger kr 105 per billett/person for trivselsleder og ein venn.(Trivselsleder betaler 105,-, og kan ha med seg en venn som betaler 105,-). 
"
"04/12/2017 - 14:20","30/11/2021 - 10:04","Best Adventures","Eidfjord","info@bestadventures.no","","✔","


best_adventures.png

      



2 for 1 tilbud for TL. 
"
"04/12/2017 - 14:20","23/06/2025 - 12:36","Mikkelparken","Eidfjord","info@mikkelparken.no","","✖","


mikkelparken.jpg

      



2 for 1 tilbud for TL alle dager med unntak av i Juli.
"
"04/12/2017 - 14:20","30/11/2021 - 10:09","Sysendalen skisenter","Eidfjord","post@hsfs.no","","✔","


sysendalen_skisenter.jpg

      



2 for 1 tilbud for TL. Gjelder ikke årskort.
"
