"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","",""
"04/12/2017 - 14:20","05/09/2025 - 17:33","Rana paintballklubb","Rana","kontakt@rpbk.net","Paintball","✖","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:36","Setergrotta","Rana","info@setergrotta.no","Grottevandring","✔","rediger","slett"
"04/12/2017 - 14:20","08/10/2025 - 12:46","Moheia bad","Rana","Kirti.Catrin.Magnussen@rana.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:23","Nordland teater","Rana","post@nordlandteater.no","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 22:00","Stall selnes","Indre Fosen kommune","","Ridetur","✖","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:05","Bowling1 Sortland","Sortland","sortland@bowling1.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","28/10/2025 - 13:34","Sam lekeland","Harstad","post@samlekeland.no","Lekeland","✖","rediger","slett"
"04/12/2017 - 14:20","18/01/2022 - 09:03","Kulturfabrikken","Sortland","postmottak@kulturfabrikkensortland.no","Kino/forestillinger","✔","rediger","slett"
"04/12/2017 - 14:20","18/11/2024 - 12:50","Steinkjer golfklubb","Steinkjer","runegjermo@gmail.com","Golf","✖","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:54","Dampsaga bad","Steinkjer","kontakt@dampsaga-bad.no","Bad","✔","rediger","slett"
"04/12/2017 - 14:20","29/11/2023 - 10:59","Steinkjer kino","Steinkjer","ketil.tronstad@steinkjer.kommune.no","Kino","✔","rediger","slett"
"26/04/2022 - 14:43","20/06/2025 - 15:33","Lykkeland","Steinkjer","lykkeland.steinkjer@gmail.com","Lekeland","✔","rediger","slett"
"04/12/2017 - 14:20","25/03/2019 - 15:02","Egge Museum","Steinkjer","eggemuseum@snk.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 11:47","Bowlinghallen","Stjørdal","post@bowlinghallen.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 12:18","Daltrøa skitrekk","Stjørdal","","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","29/11/2023 - 11:00","Kimen kino","Stjørdal","kino@kimenkino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","23/10/2023 - 09:30","Sørfoldhallen folkebad","Sørfold","POST@SORFOLD.KOMMUNE.NO","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","26/10/2023 - 16:57","Sørfold paintballklubb","Sørfold","jahn-otto.fiskvik@online.no","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 12:59","Barentsbadet","Sør-Varanger","hmi@svk.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","20/10/2025 - 08:24","Aurora kino Kirkenes","Sør-Varanger","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 15:13","Kirkenes bowling","Sør-Varanger","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","20/10/2025 - 08:24","Aurora kino fokus","Tromsø","post@aurorakino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:01","Nordnorsk vitensenter","Tromsø","tove@nordnorsk.vitensenter.no","Vitensenter","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:02","Tromsø golfklubb","Tromsø","bjorn@tromsogolf.com","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:00","Storm Tromsø","Tromsø","storm@tromsostorm.no","Basketball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:16","Tromsø IL","Tromsø","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:21","TUIL","Tromsø","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:02","Polaria i tromsø","Tromsø","booking@polaria.no","Opplevelsessenter","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:00","Kjæreng Gård","Tromsø","post@tromsominizoo.no","Gårdsbesøk","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 13:03","Tromsø bowling ","Tromsø","post@tromsobowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:22","Rosenborg","Trondheim","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","17/12/2021 - 11:05","Ranheim fotball","Trondheim","post@ranheimfotball.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:56","Husebybadet","Trondheim","bydrift.postmottak@trondheim.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","16/06/2025 - 08:35","Vitensenteret i Trondheim","Trondheim","post@vitensenteret.com","Vitensenter","✖","rediger","slett"
"04/12/2017 - 14:20","16/12/2025 - 10:22","Danseriet","Trondheim","danseriet@gmail.com","Dansing","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 12:14","Centrum bowling","Trondheim","post@centrumbowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","15/05/2026 - 16:05","Sommerseter golfbane","Trondheim","post@golfklubben.no","Golf","✖","rediger","slett"
"04/12/2017 - 14:20","29/11/2023 - 10:58","Trondheim kino","Trondheim","kino@trondheimkino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","30/04/2025 - 10:44","Lucky Bowl","Trondheim","","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","10/03/2026 - 09:44","Leangen curlinghall","Trondheim","post@trondheimcurling.no","Curling","✔","rediger","slett"
"04/12/2017 - 14:20","26/10/2023 - 10:23","Kippermoen folkebad","Vefsn","post@vefsn.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","06/11/2023 - 07:59","Trollvar","Vefsn","trollvar77@gmail.com","Aktivitetspark","✖","rediger","slett"
"04/12/2017 - 14:20","26/03/2019 - 11:20","Stiklestad nasjonale kultursenter","Verdal","stiklestad@snk.no","Kultursenter","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 15:06","Figurteateret i Nordland","Vestvågøy","leder.figurteatret@nfk.no","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","03/04/2024 - 14:31","Stamsund Teaterfestival","Vestvågøy","sissel.stamsund@gmail.com","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","01/12/2021 - 10:09","Askøyhallen svømmehall","Askøy","askoyhallene@askoy.kommune","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:32","Arendal fotball","Arendal","post@arendalfotball.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:36","Arendal bowling","Arendal","arendal@bowlinga.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","26/02/2024 - 13:36","Stinta svømmehall","Arendal","Frode.Harnes@arendal.kommune.no","Svømming","✖","rediger","slett"
"04/12/2017 - 14:20","26/01/2022 - 09:30","Brann","Bergen","bergen@torshovsport.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","27/01/2022 - 10:14","Gimle basket","Bergen","post@gimle.no","Basketball","✔","rediger","slett"
"04/12/2017 - 14:20","24/05/2024 - 09:34","Wasteland","Bergen","post@wasteland.no","Lasertag","✖","rediger","slett"
"04/12/2017 - 14:20","09/09/2024 - 11:58","VilVite","Bergen","rhk@vilvite.no","Opplevelsessenter","✔","rediger","slett"
"04/12/2017 - 14:20","29/11/2023 - 09:36","Frøya basket","Bergen","baard@froyabasket.com","Basketball","✔","rediger","slett"
"04/12/2017 - 14:20","26/01/2022 - 09:30","Bergen golfklubb","Bergen","orjan@bgk.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","21/04/2026 - 10:58","Den Nationale Scene","Bergen","annette.stople@dns.no","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 12:04","Vestkanten badeland","Bergen","","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","27/01/2022 - 10:10","FK Fyllingsdalen","Bergen","post@fkfyllingsdalen.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:56","FyllingenBergen","Bergen","","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","27/01/2022 - 10:16","Tertnes håndball elite","Bergen","kontor@tertnes.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","05/11/2021 - 09:19","Bergen stupeklubb","Bergen","dagligleder@bergen-stupeklubb.no","","✖","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 11:12","Bergen kino","Bergen","birgitte@bergenkino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","11/06/2025 - 14:25","Ado arena","Bergen","ado@adoarena.no","","✔","rediger","slett"
"04/12/2017 - 14:20","08/10/2024 - 11:17","Høyt & Lavt Bergen","Bergen","olav@hoytlavt.no","Klatrepark","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:17","Stavtjørn alpin","Bjerkreim","elin@stavtjornalpin.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","19/02/2026 - 13:23","Bømlo kulturhus","Bømlo","heidi@bomlokulturhus.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","30/11/2021 - 10:04","Best Adventures","Eidfjord","info@bestadventures.no","","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 12:36","Mikkelparken","Eidfjord","info@mikkelparken.no","","✖","rediger","slett"
"04/12/2017 - 14:20","30/11/2021 - 10:09","Sysendalen skisenter","Eidfjord","post@hsfs.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Etne kino","Etne","kino@skakke.no","","✔","rediger","slett"
"04/12/2017 - 14:20","05/11/2021 - 10:56","Etne fysioterapi og trening","Etne","post@etnefysio.no","","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:54","Mineralparken","Evje","post@mineralparken.no","Opplevelsessenter","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:16","Lista Trialklubb","Farsund","","Motorsport","✖","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 10:21","Vest-Agder museet","Farsund","post@vestagdermuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:50","Lista svømmehall","Farsund","post@farsund.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Fjaler kino","Fjaler","kare.antonisen@enivest.net","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 15:38","Bergen paintball","Fjell","mads@bergen-paintball.no","","✖","rediger","slett"
"04/12/2017 - 14:20","11/06/2025 - 11:04","Ueneshallen","Flekkefjord","thomas.olsson@flekkefjord.kommune.no","","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:38","Flekkefjord kino","Flekkefjord","torhild.svege@flekkefjord.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 14:34","Vest-Agder museet","Flekkefjord","j.olsen@vestagdermuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","25/11/2021 - 09:06","Florø golfklubb","Kinn kommune","v-kil@hotmail.com","","✔","rediger","slett"
"04/12/2017 - 14:20","21/10/2025 - 12:57","Havhesten","Kinn kommune","magny@havhesten.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","05/11/2021 - 09:47","Stasjonen kafé og bowling","Kinn kommune","","","✖","rediger","slett"
"04/12/2017 - 14:20","01/12/2021 - 13:42","Sunnfjord hestesportsenter","Kinn kommune","hestesportsenter@gmail.com","Riding","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:39","Frolandia","Froland","julie.breimyr@froland.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","08/11/2021 - 09:34","Framo aktiv","Bjørnafjorden kommune","bfe@framo.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/10/2025 - 12:46","Hålandsdal idrettslag","Bjørnafjorden kommune","post@haalandsdalil.no","Ski","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 12:45","Fusa symjehall","Bjørnafjorden kommune","post@fusa.kommune.no","","✔","rediger","slett"
"04/12/2017 - 14:20","18/05/2026 - 09:31","Førdehuset symjehallen","Sunnfjord kommune","","Svømming","✖","rediger","slett"
"04/12/2017 - 14:20","20/04/2022 - 08:22","Førde bowlinghall","Sunnfjord kommune","","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:25","Stiftinga sunnmøre museum","Giske","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:13","Giske golfklubb","Giske","","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:52","Oltedal svømmehall og Ålgård svømmehall","Gjesdal","","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Gjesdal","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Gloppen padleklubb","Gloppen","gloppen@padleklubb.no","Padling","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Gloppen kino","Gloppen","kjersti.ronningen@gloppen.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Nordfjord folkemuseum","Gloppen","anne.kristin.moe@misf.museum.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 11:58","Breimsbygda skisenter","Gloppen","skisenter@breim.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:20","Trivselsbadet i trivselshagen","Gloppen","","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:40","Grimstad svømmehall","Grimstad","postmottak@grimstad.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:40","Grimstad kino","Grimstad","rolf@grimstadkulturhus.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:14","Grimstad og Arendal rideklubb","Grimstad","post@agrideklubb.no","Riding","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:37","FK Jerv","Grimstad","post@fkjerv.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:28","Splatmaster utleie (paintball)","Grimstad","steffen@splatmaster.no","Paintball","✖","rediger","slett"
"04/12/2017 - 14:20","24/10/2023 - 14:22","Finnøy havstuer","Ålesund","post@havstuene.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:40","Brattvåg bowling","Ålesund","post@brattvaagbowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:41","Brattvåg svømmeklubb","Ålesund","christian_koppen@hotmail.com","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:46","Ingebrigt davik-huset","Ålesund","vegard@idhuset.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:39","Brattvåg IL","Ålesund","oaustbo@yahoo.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:48","Norborg IL","Ålesund","kristian.soviknes@vard.com","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:39","Kulturkafeen","Ålesund","","Cafe","✖","rediger","slett"
"04/12/2017 - 14:20","07/05/2024 - 21:56","Haugesund FK","Haugesund","lars.ingolf.sexe@fkh.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 10:31","Haugesund golfklubb","Haugesund","","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:33","Ishallen","Haugesund","Trond.Froestad@haugesund.kommune.no","Skøyter","✖","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 13:48","Haugaland håndball","Haugesund","","Håndball","✖","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:18","Haugalandsveggen","Haugesund","post@hveggen.no","Klatring","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:30","Haraldshallen","Haugesund","Trond.Froestad@haugesund.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","01/07/2025 - 15:44","Sunnmørsbadet","Herøy","post@sunnmorsbadet.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:37","Vitengarden","Hå","","","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:28","Kongeparken","Hå","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:34","SurfSchool","Hå","surfschool.no@gmail.com","Surfing","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:18","Moonlight ungdomsklubb","Iveland","","Fritidsklubb","✖","rediger","slett"
"04/12/2017 - 14:20","24/04/2023 - 15:00","Haugaland håndball","Karmøy","post@h-hk.no","","✖","rediger","slett"
"04/12/2017 - 14:20","03/02/2025 - 11:23","Ishallen","Karmøy","sma01@karmoy.kommune.no","Skøyter","✖","rediger","slett"
"04/12/2017 - 14:20","05/03/2019 - 09:38","Haugalandsveggen","Karmøy","post@hveggen.no","","✔","rediger","slett"
"04/12/2017 - 14:20","07/05/2024 - 21:55","Haugesund FK","Karmøy","lars.ingolf.sexe@fkh.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 14:08","Karmøyhallen","Karmøy","jah@karmoy.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","05/03/2019 - 09:40","Karmøy golfklubb","Karmøy","post@karmoy-golfklubb.no","","✔","rediger","slett"
"04/12/2017 - 14:20","15/01/2024 - 08:48","Karmøy kino","Karmøy","adm@karmoykino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 14:21","Nordvegen golfklubb","Karmøy","post@nordvegengolf.no","","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:28","Kongeparken","Klepp","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:43","Kristiansand golfklubb","Kristiansand","cato@kristiansandgk.no ","Golf","✖","rediger","slett"
"04/12/2017 - 14:20","05/05/2026 - 14:36","Aquarama Bad Kristiansand","Kristiansand","bad@aquarama.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:43","Kristiansand Pirates","Kristiansand","anthony@pirates.no","Basketball","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 10:21","Vest-Agder museet","Kristiansand"," j.olsen@vestagdermuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","20/11/2024 - 10:00","Høyt & Lavt Kristiansand","Kristiansand","olav@hoytlavt.no","Klatrepark","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:27","Atlanterhavsbadet","Kristiansund","post@atlanterhavsbadet.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","25/04/2022 - 10:16","IL Goma avd. Bueskyting","Kristiansund","bue@bueskytterforbundet.no","Bueskyting","✔","rediger","slett"
"04/12/2017 - 14:20","23/10/2023 - 09:11","Kristiansund og Rensvik paintballklubb","Kristiansund","frosive@neasonline.no","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:15","Caroline kino","Kristiansund","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 15:29","Kristiansund og omegn golfklubb","Kristiansund","kristiansund.golf@gmail.com ","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:30","Atlanten kunstisbane AS","Kristiansund","post@arenanordvest.com","Skøyter","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:30","Kristiansund BK","Kristiansund","post@kristiansundbk.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 13:01","Kvam kino","Kvam","mars@kvam.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Furedalen alpin","Kvam","post@furedalen.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Strandebarm symjehall","Kvam","wobbler96@gmail.com","","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 12:53","Hardanger og Voss museum","Kvam","post@hvm.museum.no","","✔","rediger","slett"
"04/12/2017 - 14:20","16/06/2025 - 08:48","Knaben alpinsenter","Kvinesdal","alpinsenteret@knaben.no","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:45","Kvinesdal kino","Kvinesdal","post@kvinesdal.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 14:34","Vest-Agder museet","Kvinesdal","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:44","Kvinabadet","Kvinesdal","post@kvinesdal.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","26/04/2024 - 14:44","Offentlig bading, Kvinnherad","Kvinnherad","hanna.haugan.solheim@kvinnherad.kommune.no","Bad","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 13:19","Rosendal rideklubb","Kvinnherad","post@rosendal-rideklubb.no","","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:06","Husnes karateklubb","Kvinnherad","","Trening","✔","rediger","slett"
"04/12/2017 - 14:20","09/12/2021 - 11:06","Kulturhuset Husnes (kino)","Kvinnherad","kulturhuset.husnes@kvinnherad.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Fjellhaugen skisenter","Kvinnherad","postkasse@fjellhaugen.no","","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:45","Lillesand kino","Lillesand","postmottak@lillesand.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:46","Lillesand svømmehall","Lillesand","postmottak@lillesand.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:55","Nasjonalt Villakssenter - Kvåsfossen","Lyngdal kommune","post@kvasfossen.no","Opplevelse","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:52","Lyngdal kino","Lyngdal kommune","post@lyngdalkulturhus.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","20/11/2024 - 10:30","Sørlandsbadet","Lyngdal kommune","atle@sorlandsbadet.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 13:32","Studio Nor","Alver kommune","anne@studionor.no","","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 10:53","Max Fitness","Alver kommune","","Trening","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:31","Molde FK","Molde","mfk@moldefk.no","Fotball","✔","rediger","slett"
