vaar_tekst,bunke,udir_kode,udir_uri,udir_bokmaal,udir_nynorsk,likhetsskaar,duplikat_av,c_grunn
Utforske ulike sider ved mangfald i Noreg og reflektere over menneska sine behov for å vere seg sjølve og for å høyre til i fellesskap.,A,KM14683,http://psi.udir.no/kl06/KM14683,utforske ulike sider ved mangfold i Norge og reflektere over menneskers behov for å være seg selv og for å høre til i fellesskap,utforske ulike sider ved mangfald i Noreg og reflektere over menneska sine behov for å vere seg sjølve og for å høyre til i fellesskap,1.000,Utforske ulike sider ved mangfold i Norge og reflektere over menneskers behov for å være seg selv og for å høre til i fellesskap.,
"Reflektere over variasjonar i identitetar, seksuell orientering og kjønnsuttrykk, og eigne og andre sine grenser knytte til kjensler, kropp, kjønn og seksualitet og drøfte kva ein kan gjere om grenser blir brotne.",A,KM14694,http://psi.udir.no/kl06/KM14694,"reflektere over variasjoner i identiteter, seksuell orientering og kjønnsuttrykk og egne og andres grenser knyttet til følelser, kropp, kjønn og seksualitet og drøfte hva man kan gjøre om grenser blir brutt","reflektere over variasjonar i identitetar, seksuell orientering og kjønnsuttrykk, og eigne og andre sine grenser knytte til kjensler, kropp, kjønn og seksualitet og drøfte kva ein kan gjere om grenser blir brotne",1.000,,
"Utvikle og bruke formålstenlege strategiar i rekning med brøk, desimaltal og prosent og forklare tenkjemåtane sine.",B,KM13268,http://psi.udir.no/kl06/KM13268,utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine,0.789,,
"eksperimentere med telling både forlengs og baklengs, velge ulike startpunkter og ulik differanse og beskrive mønstre i tellingene",B,KM13230,http://psi.udir.no/kl06/KM13230,"telle både framlengs og baklengs, velge ulike startpunkter og ulik differanse og forklare mønstre i tellinger","telje både framlengs og baklengs, velje ulike startpunkt og ulik differanse og forklare mønster i teljingar",0.835,,
Utforske addisjon og subtraksjon og bruke dette til å formulere og løse problemer fra lek og egen hverdag.,B,KM13234,http://psi.udir.no/kl06/KM13234,bruke addisjon og subtraksjon til å lage og løse problemer fra lek og hverdag,bruke addisjon og subtraksjon til å lage og løyse problem frå leik og kvardag,0.802,,
Utforske den kommutative og den assosiative eigenskapen ved addisjon og bruke dette i hovudrekning.,D,,,,,0.712,,
"Ordne tall, mengder og former ut fra egenskaper, sammenligne dem og reflektere over om det kan gjøres på flere måter.",B,KM13228,http://psi.udir.no/kl06/KM13228,gruppere tall og mengder ut fra egenskaper og reflektere over om dette kan gjøres på flere måter,gruppere tal og mengder ut frå eigenskapar og reflektere over om dette kan gjerast på fleire måtar,0.810,,
Etter 3. trinn:,C,,,,,,,trinn-overskrift
Utvikle og bruke formålstenlege strategiar for subtraksjon i praktiske situasjonar.,D,,,,,0.680,,
Bruke samansette rekneuttrykk til å beskrive og utføre utrekningar.,D,,,,,0.544,,
Plassere tal på tallinja og bruke tallinja i rekning og problemløysing.,A,KM13233,http://psi.udir.no/kl06/KM13233,plassere tall på tallinjen og bruke tallinjen i regning og problemløsing,plassere tal på tallinja og bruke tallinja i rekning og problemløysing,1.000,,
Lage og følgje reglar og trinnvise instruksjonar i leik og spel knytte til koordinatsystemet.,A,KM13252,http://psi.udir.no/kl06/KM13252,lage og følge regler og trinnvise instruksjoner i lek og spill knyttet til koordinatsystemet,lage og følgje reglar og trinnvise instruksjonar i leik og spel knytte til koordinatsystemet,1.000,Lage og følge regler og trinnvise instruksjoner i lek og spill knyttet til koordinatsystemet.,
Utforske og beskrive strukturar og mønster i leik og spel.,B,KM13262,http://psi.udir.no/kl06/KM13262,beskrive og utforske strukturer og mønstre i lek og spill,beskrive og utforske strukturar og mønster i leik og spel,0.789,,
utforske og forklare sammenhenger mellom addisjon og subtraksjon og bruke det i hoderegning og problemløsing,D,,,,,0.734,,
Utforske multiplikasjon ved teljing.,D,,,,,0.480,,
"Utforske, bruke og beskrive ulike divisjonsstrategiar.",B,KM13257,http://psi.udir.no/kl06/KM13257,bruke og forklare ulike divisjonsstrategier,bruke og forklare ulike divisjonsstrategiar,0.800,,
"Følge regler for rettskriving, ordbøying og setningsstruktur.",A,KM13360,http://psi.udir.no/kl06/KM13360,"følge regler for rettskriving, ordbøying og setningsstruktur","følgje reglar for rettskriving, ordbøying og setningsstruktur",1.000,"Følge regler for rettskriving, ordbøying og setningsstruktur. || - følge regler for rettskriving, ordbøying og setningsstruktur",
"Sammenligne og presentere ulike årstider og høytider i kristendom og andre religions- og livssynstradisjoner, som kulturarv.",A,KM14587,http://psi.udir.no/kl06/KM14587,"sammenligne og presentere ulike årstider og høytider i kristendom og andre religions- og livssynstradisjoner, som kulturarv","samanlikne og presentere ulike årstider og høgtider i kristendom og andre religions- og livssynstradisjonar, som kulturarv",1.000,,
Bruke fagbegreper i arbeidet med religioner og livssyn.,A,KM14607,http://psi.udir.no/kl06/KM14607,bruke fagbegreper i arbeidet med religioner og livssyn,bruke fagomgrep i arbeidet med religionar og livssyn,1.000,Bruke fagbegreper i arbeidet med religioner og livssyn.,
Utforske og sammenligne tekster og materielle uttrykk som kilder til kunnskap om kulturarv knyttet til kristendom og ulike religions- og livssynstradisjoner.,A,KM14600,http://psi.udir.no/kl06/KM14600,utforske og sammenligne tekster og materielle uttrykk som kilder til kunnskap om kulturarv knyttet til kristendom og ulike religions- og livssynstradisjoner,utforske og samanlikne tekstar og materielle uttrykk som kjelder til kunnskap om kulturarv knytt til kristendom og ulike religions- og livssynstradisjonar,1.000,,
"Samtale om og beskrive hvordan ord vi bruker, kan påvirke andre.",A,KM14149,http://psi.udir.no/kl06/KM14149,"samtale om og beskrive hvordan ord vi bruker, kan påvirke andre","samtale om og beskrive korleis ord vi bruker, kan påverke andre",1.000,,
Bruke fagspråk og kunnskap om ordklasser og setningsoppbygning i samtale om egne og andres tekster.,A,KM14177,http://psi.udir.no/kl06/KM14177,bruke fagspråk og kunnskap om ordklasser og setningsoppbygning i samtale om egne og andres tekster,bruke fagspråk og kunnskap om ordklassar og setningsoppbygging i samtale om eigne og andre sine tekstar,1.000,,
"utforske tall, mengder og telling i lek, natur, billedkunst, musikk og barnelitteratur, representere tallene på ulike måter og oversette mellom de ulike representasjonene",D,,,,,0.673,,
Eksperimentere med multiplikasjon og divisjon i kvardagssituasjonar.,D,,,,,0.554,,
utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger,D,,,,,0.553,,
"Utforske og forklare samanhengar mellom brøkar, desimaltal og prosent og bruke det i hovudrekning.",D,,,,,0.587,,
Kjenne att og beskrive repeterande einingar i mønster og lage eigne mønster.,A,KM13236,http://psi.udir.no/kl06/KM13236,kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre,kjenne att og beskrive repeterande einingar i mønster og lage eigne mønster,1.000,Kjenne igjen og beskrive repeterende enheter i mønstre og lage egne mønstre.,
Utforske og beskrive generelle eigenskapar ved partal og oddetal.,B,KM13231,http://psi.udir.no/kl06/KM13231,beskrive og utforske egenskaper ved partall og oddetall,beskrive og utforske eigenskapar ved partal og oddetal,0.780,,
"Utforske, beskrive og samanlikne eigenskapar ved to- og tredimensjonale figurar ved å bruke vinklar, kantar og hjørne.",B,KM13261,http://psi.udir.no/kl06/KM13261,"beskrive og utforske egenskaper ved to- og tredimensjonale figurer ved å bruke vinkler, kanter, hjørner og flater","beskrive og utforske eigenskapar ved to- og tredimensjonale figurar ved å bruke vinklar, kantar, hjørne og flater",0.848,,
Etter 7. trinn:,C,,,,,,,trinn-overskrift
"beskrive egenskaper ved og minimumsdefinisjoner av to- og tredimensjonale figurer og forklare hvilke egenskaper figurene har felles, og hvilke egenskaper som skiller dem fra hverandre",B,KM13278,http://psi.udir.no/kl06/KM13278,"beskrive og utforske egenskaper ved to- og tredimensjonale figurer og forklare hvilke egenskaper figurene har til felles, og hvilke egenskaper som skiller figurene fra hverandre","beskrive og utforske eigenskapar ved to- og tredimensjonale figurar og forklare kva for eigenskapar figurane har til felles, og kva for eigenskapar som skil figurane frå kvarandre",0.854,,
Etter 5. trinn:,C,,,,,,,trinn-overskrift
"Utforske, teikne og beskrive geometriske figurar frå sitt eige nærmiljø og argumentere for måtar å sortere dei på etter eigenskapar.",A,KM13237,http://psi.udir.no/kl06/KM13237,"utforske, tegne og beskrive geometriske figurer fra sitt eget nærmiljø og argumentere for måter å sortere dem på etter egenskaper","utforske, teikne og beskrive geometriske figurar frå sitt eige nærmiljø og argumentere for måtar å sortere dei på etter eigenskapar",1.000,,
Utforske og beskrive symmetri i mønster og utføre kongruensavbildingar med og utan koordinatsystem.,D,,,,,0.675,,
"Måle og samanlikne storleikar som gjeld lengd og areal, ved hjelp av ikkje-standardiserte og standardiserte måleiningar, beskrive korleis og samtale om resultata.",D,,,,,0.699,,
Formulere og løyse problem frå eigen kvardag som har med tid å gjere.,B,KM13269,http://psi.udir.no/kl06/KM13269,formulere og løse problemer som har med brøk å gjøre,formulere og løyse problem som har med brøk å gjere,0.790,,
Bruke variablar og formlar til å uttrykkje samanhengar i praktiske situasjonar.,D,,,,,0.582,,
Bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining.,D,,,,,0.611,,
Bruke ikkje-standardiserte måleiningar for areal og volum i praktiske situasjonar og grunngi valet av måleining.,D,,,,,0.646,,
Utforske mål for areal og volum i praktiske situasjonar og representere dei på ulike måtar.,D,,,,,0.736,,
Diskutere tilfeldigheit og sannsyn i spel og praktiske situasjonar og knyte det til brøk.,B,KM13270,http://psi.udir.no/kl06/KM13270,utforske og beskrive tilfeldighet og sannsynlighet i spill og praktiske situasjoner og knytte det til brøk,"utforske og beskrive tilfeldigheit og sannsyn i spel og praktiske situasjonar, og knyte det til brøk",0.898,,
"Formulere og løyse problem frå sin eigen kvardag som har med desimaltal, brøk og prosent å gjere og forklare eigne tenkjemåtar.",D,,,,,0.660,,
"Logge, sortere, presentere og lese data i tabellar og diagram og grunngi valet av framstilling.",B,KM13290,http://psi.udir.no/kl06/KM13290,"logge, sortere, lese av og presentere data i tabeller og diagrammer og forklare valget av framstilling","logge, sortere, lese av og presentere data i tabellar og diagram og forklare valet av framstilling",0.830,,
"Undre seg, stille spørsmål og lage hypoteser  og utforske disse for å finne svar.",A,KM13816,http://psi.udir.no/kl06/KM13816,"undre seg, stille spørsmål og lage hypoteser og utforske disse for å finne svar","undre seg, stille spørsmål og lage hypotesar og utforske desse for å finne svar",1.000,,
"Bruke tabeller og figurer til å organisere data, lage forklaringer basert på data og presentere funn.",A,KM13817,http://psi.udir.no/kl06/KM13817,"bruke tabeller og figurer til å organisere data, lage forklaringer basert på data og presentere funn","bruke tabellar og figurar til å organisere data, lage forklaringar baserte på data og presentere funn",1.000,,
"Stille spørsmål og lage hypoteser om naturfaglige fenomener, identifisere variabler og samle data for å finne svar.",A,KM13833,http://psi.udir.no/kl06/KM13833,"stille spørsmål og lage hypoteser om naturfaglige fenomener, identifisere variabler og samle data for å finne svar","stille spørsmål og lage hypotesar om naturfaglege fenomen, identifisere variablar og samle data for å finne svar",1.000,,
"Skille mellom observasjoner og slutninger, organisere data, bruke årsak-virkning-argumenter, trekke slutninger, vurdere feilkilder og presentere funn.",A,KM13834,http://psi.udir.no/kl06/KM13834,"skille mellom observasjoner og slutninger, organisere data, bruke årsak-virkning-argumenter, trekke slutninger, vurdere feilkilder og presentere funn","skilje mellom observasjonar og slutningar, organisere data, bruke årsak–verknad-argument, trekkje slutningar, vurdere feilkjelder og presentere funn",1.000,,
"Undre seg, utforske og lage spørsmål, og knytte dette til egne eller andres erfaringer.",A,KM13806,http://psi.udir.no/kl06/KM13806,"undre seg, utforske og lage spørsmål, og knytte dette til egne eller andres erfaringer","undre seg, utforske og lage spørsmål, og knyte dette til eigne eller andre sine erfaringar",1.000,,
Presentere funnene sine og beskrive hvordan eleven har kommet fram til dem.,A,KM13807,http://psi.udir.no/kl06/KM13807,presentere funnene sine og beskrive hvordan eleven har kommet fram til dem,presentere funna sine og beskrive korleis eleven har kome fram til dei,1.000,,
Utforske et naturområde i nærmiljøet og beskrive  hvordan noen organismer er tilpasset området og hverandre.,A,KM13810,http://psi.udir.no/kl06/KM13810,utforske et naturområde i nærmiljøet og beskrive hvordan noen organismer er tilpasset området og hverandre,utforske eit naturområde i nærmiljøet og beskrive korleis nokre organismar er tilpassa området og kvarandre,1.000,,
Utforske og sammenligne ulike dyre- og plantearters tilpasninger til miljø og levesteder og drøfte hvorfor noen arter dør ut.,A,KM13825,http://psi.udir.no/kl06/KM13825,utforske og sammenligne ulike dyre- og plantearters tilpasninger til miljø og levesteder og drøfte hvorfor noen arter dør ut,"utforske og samanlikne korleis ulike dyre- og planteartar har tilpassa seg miljø og levestader, og drøfte kvifor nokre artar døyr ut",1.000,,
Utforske sansene gjennom lek ute og inne og samtale om hvordan sansene brukes til å samle informasjon.,A,KM13813,http://psi.udir.no/kl06/KM13813,utforske sansene gjennom lek ute og inne og samtale om hvordan sansene brukes til å samle informasjon,utforske sansane gjennom leik ute og inne og samtale om korleis sansane blir brukte til å samle informasjon,1.000,,
"Gjøre rede for hvordan organismer kan deles inn i hovedgrupper, og gi eksempler på ulike organismers særtrekk.",A,KM13843,http://psi.udir.no/kl06/KM13843,"gjøre rede for hvordan organismer kan deles inn i hovedgrupper, og gi eksempler på ulike organismers særtrekk","gjere greie for korleis organismar kan delast inn i hovudgrupper, og gi døme på særtrekka til ulike organismar",1.000,,
Samtale om hvordan vi kan ta miljøbevisste valg og gjennomføre lokale miljøtiltak.,A,KM13815,http://psi.udir.no/kl06/KM13815,samtale om hvordan vi kan ta miljøbevisste valg og gjennomføre lokale miljøtiltak,samtale om korleis vi kan ta miljømedvitne val og gjennomføre lokale miljøtiltak,1.000,,
Lese og forstå faremerking og reflektere over hensikten med disse.,A,KM13836,http://psi.udir.no/kl06/KM13836,lese og forstå faremerking og reflektere over hensikten med disse,lese og forstå faremerking og reflektere over formålet med desse,1.000,,
"Uttrykke tekstopplevelser gjennom lek, sang, tegning, skriving og andre kreative aktiviteter.",A,KM14141,http://psi.udir.no/kl06/KM14141,"uttrykke tekstopplevelser gjennom lek, sang, tegning, skriving og andre kreative aktiviteter","uttrykkje tekstopplevingar gjennom leik, song, teikning, skriving og andre kreative aktivitetar",1.000,,
Leke med rim og rytme og lytte ut språklyder og stavelser i ord.,A,KM14145,http://psi.udir.no/kl06/KM14145,leke med rim og rytme og lytte ut språklyder og stavelser i ord,leike med rim og rytme og lytte ut språklydar og stavingar i ord,1.000,,
Lytte til og samtale om skjønnlitteratur og sakprosa på bokmål og nynorsk.,A,KM14139,http://psi.udir.no/kl06/KM14139,lytte til og samtale om skjønnlitteratur og sakprosa på bokmål og nynorsk,lytte til og samtale om skjønnlitteratur og sakprosa på bokmål og nynorsk,1.000,,
"Utforske og formidle tekster gjennom samtale, skriving, lek, bevegelse og andre kreative uttrykk.",A,KM14158,http://psi.udir.no/kl06/KM14158,"utforske og formidle tekster gjennom samtale, skriving, lek, bevegelse og andre kreative uttrykk","utforske og formidle tekstar gjennom samtale, skriving, leik, bevegelse og andre kreative uttrykk",1.000,,
"Lytte, ta ordet etter tur og begrunne egne meninger i samtaler.",A,KM14142,http://psi.udir.no/kl06/KM14142,"lytte, ta ordet etter tur og begrunne egne meninger i samtaler","lytte, ta ordet etter tur og grunngi eigne meiningar i samtalar",1.000,,
"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter.",A,KM14162,http://psi.udir.no/kl06/KM14162,"beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter","beskrive, fortelje og argumentere munnleg og skriftleg og bruke språket på kreative måtar",1.000,"Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter || Beskrive, fortelle og argumentere muntlig og skriftlig og bruke språket på kreative måter.",
"Bruke noen vanlige småord, høflighetsuttrykk og enkle fraser og setninger for å få hjelp til å forstå og bli forstått.",A,KM13341,http://psi.udir.no/kl06/KM13341,"bruke noen vanlige småord, høflighetsuttrykk og enkle fraser og setninger for å få hjelp til å forstå og bli forstått","bruke nokre vanlege småord, høflegheitsuttrykk og enkle frasar og setningar for å få hjelp til å forstå og bli forstått",1.000,,
Utforske og bruke det engelske alfabetet og uttalemønstre i varierte lek- sang- og språklæringsaktiviteter.,A,KM13340,http://psi.udir.no/kl06/KM13340,utforske og bruke det engelske alfabetet og uttalemønstre i varierte lek- sang- og språklæringsaktiviteter,"utforske og bruke det engelske alfabetet og uttalemønster i varierte leik, song- og språklæringsaktivitetar",1.000,,
"Stille og svare på enkle spørsmål, følge enkle instruksjoner og bruke noen høflighetsuttrykk.",A,KM13332,http://psi.udir.no/kl06/KM13332,"stille og svare på enkle spørsmål, følge enkle instruksjoner og bruke noen høflighetsuttrykk","stille og svare på enkle spørsmål, følgje enkle instruksjonar og bruke nokre høflegheitsuttrykk",1.000,,
Lytte til og forstå ord og uttrykk i tilpassede tekster.,A,KM13354,http://psi.udir.no/kl06/KM13354,lytte til og forstå ord og uttrykk i tilpassede tekster,lytte til og forstå ord og uttrykk i tilpassa tekstar,1.000,,
"Delta i samtaler om egne og andres behov, følelser, dagligliv og interesser og bruke samtaleregler.",A,KM13342,http://psi.udir.no/kl06/KM13342,"delta i samtaler om egne og andres behov, følelser, dagligliv og interesser og bruke samtaleregler","delta i samtalar om eigne og andre sine behov, kjensler, daglegliv og interesser og bruke samtalereglar",1.000,,
Uttrykke seg forståelig med et variert ordforråd og høflighetsuttrykk tilpasset mottaker og situasjon.,A,KM13357,http://psi.udir.no/kl06/KM13357,uttrykke seg forståelig med et variert ordforråd og høflighetsuttrykk tilpasset mottaker og situasjon,uttrykkje seg forståeleg med eit variert ordforråd og høflegheitsuttrykk tilpassa mottakar og situasjon,1.000,,
Beskrive geografiske hovudtrekk i ulike delar av verda og reflektere over korleis desse hovudtrekka påverkar menneska som bur der.,A,KM14688,http://psi.udir.no/kl06/KM14688,beskrive geografiske hovedtrekk i ulike deler av verden og reflektere over hvordan disse hovedtrekkene påvirker menneskene som bor der,beskrive geografiske hovudtrekk i ulike delar av verda og reflektere over korleis desse hovudtrekka påverkar menneska som bur der,1.000,,
Utforske og beskrive kulturminne og kultur- og naturlandskapet i nærmiljøet.,A,KM14719,http://psi.udir.no/kl06/KM14719,utforske og beskrive kulturminner og kultur- og naturlandskapet i nærmiljøet,utforske og beskrive kulturminne og kultur- og naturlandskapet i nærmiljøet,1.000,,
"Utforske kulturminne og korleis menneska levde i den tida kulturminna er frå, og samanlikne med korleis vi lever i dag.",A,KM14669,http://psi.udir.no/kl06/KM14669,"utforske kulturminner og hvordan mennesker levde i den tiden kulturminnene er fra, og sammenligne med hvordan vi lever i dag","utforske kulturminne og korleis menneska levde i den tida kulturminna er frå, og samanlikne med korleis vi lever i dag",1.000,,
Følge enkle regler for rettskriving og setningsstruktur.,A,KM13345,http://psi.udir.no/kl06/KM13345,følge enkle regler for rettskriving og setningsstruktur,følgje enkle reglar for rettskriving og setningsstruktur,1.000,,
Skrive enkle tekster som uttrykker tanker og meninger.,A,KM13352,http://psi.udir.no/kl06/KM13352,skrive enkle tekster som uttrykker tanker og meninger,skrive enkle tekstar som uttrykkjer tankar og meiningar,1.000,,
"Skrive sammenhengende tekster, inkludert sammensatte, som gjenforteller, forteller, spør og uttrykker meninger og interesser, tilpasset mottaker.",A,KM13366,http://psi.udir.no/kl06/KM13366,"skrive sammenhengende tekster, inkludert sammensatte, som gjenforteller, forteller, spør og uttrykker meninger og interesser, tilpasset mottaker","skrive samanhengande tekstar, inkludert samansette, som gjenfortel, fortel, spør og uttrykkjer meiningar og interesser, tilpassa mottakar",1.000,,
​​​​​​​Tilegne seg ord og kulturell kunnskap gjennom engelskspråklig barnelitteratur og barnekultur.,A,KM13337,http://psi.udir.no/kl06/KM13337,tilegne seg ord og kulturell kunnskap gjennom engelskspråklig barnelitteratur og barnekultur,tileigne seg ord og kulturell kunnskap gjennom engelskspråkleg barnelitteratur og barnekultur,1.000,,
"Utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill.",A,KM13355,http://psi.udir.no/kl06/KM13355,"utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill","utforske og bruke uttalemønster og ord og uttrykk i leik, song og rollespel",1.000,"- utforske og bruke uttalemønstre og ord og uttrykk i lek, sang og rollespill",
"Beskrive hvordan muskler og skjelett fungerer, og knytte dette til bevegelse.",A,KM13831,http://psi.udir.no/kl06/KM13831,"beskrive hvordan muskler og skjelett fungerer, og knytte dette til bevegelse","beskrive korleis musklar og skjelett fungerer, og knyte dette til bevegelse",1.000,,
Gjøre rede for noen av kroppens organsystemer og beskrive hvordan systemene virker sammen.,A,KM13850,http://psi.udir.no/kl06/KM13850,gjøre rede for noen av kroppens organsystemer og beskrive hvordan systemene virker sammen,gjere greie for nokre av organsystema i kroppen og beskrive korleis systema verkar saman,1.000,,
"Bruke partikkelmodellen til å forklare faseoverganger og egenskapene til faste stoffer, væsker og gasser.",A,KM13852,http://psi.udir.no/kl06/KM13852,"bruke partikkelmodellen til å forklare faseoverganger og egenskapene til faste stoffer, væsker og gasser","bruke partikkelmodellen til å forklare faseovergangar og eigenskapane til faste stoff, væsker og gassar",1.000,,
"Beskrive og visualisere hvordan døgn, månefaser og årstider oppstår, og samtale om hvordan dette påvirker livet på jorda.",A,KM13846,http://psi.udir.no/kl06/KM13846,"beskrive og visualisere hvordan døgn, månefaser og årstider oppstår, og samtale om hvordan dette påvirker livet på jorda","beskrive og visualisere korleis døgn, månefasar og årstider oppstår, og samtale om korleis dette påverkar livet på jorda",1.000,,
"Utforske og beskrive observerbare egenskaper til ulike objekter, materialer og stoffer og sortere etter egenskaper.",A,KM13809,http://psi.udir.no/kl06/KM13809,"utforske og beskrive observerbare egenskaper til ulike objekter, materialer og stoffer og sortere etter egenskaper","utforske og beskrive observerbare eigenskapar til ulike objekt, materiale og stoff og sortere etter eigenskapar",1.000,,
Sammenligne modeller med observasjoner og samtale om hvorfor vi bruker modeller i naturfag.,A,KM13818,http://psi.udir.no/kl06/KM13818,sammenligne modeller med observasjoner og samtale om hvorfor vi bruker modeller i naturfag,samanlikne modellar med observasjonar og samtale om kvifor vi bruker modellar i naturfag,1.000,,
Designe og lage et produkt basert på en kravspesifikasjon.,A,KM13821,http://psi.udir.no/kl06/KM13821,designe og lage et produkt basert på en kravspesifikasjon,designe og lage eit produkt basert på ein kravspesifikasjon,1.000,,
Følge opp innspill fra andre i faglige samtaler og stille oppklarende og utdypende spørsmål.,A,KM14167,http://psi.udir.no/kl06/KM14167,følge opp innspill fra andre i faglige samtaler og stille oppklarende og utdypende spørsmål,følgje opp innspel frå andre i faglege samtalar og stille oppklarande og utdjupande spørsmål,1.000,,
Lytte til og videreutvikle innspill fra andre og begrunne egne standpunkter i samtaler.,A,KM14169,http://psi.udir.no/kl06/KM14169,lytte til og videreutvikle innspill fra andre og begrunne egne standpunkter i samtaler,lytte til og vidareutvikle innspel frå andre og grunngi eigne standpunkt i samtalar,1.000,,
Trekke bokstavlyder sammen til ord under lesing og skriving.,A,KM14146,http://psi.udir.no/kl06/KM14146,trekke bokstavlyder sammen til ord under lesing og skriving,trekkje bokstavlydar saman til ord under lesing og skriving,1.000,Trekke bokstavlyder sammen til ord under lesing og skriving.,
Lage rekneuttrykk til praktiske situasjonar og finne praktiske situasjonar som passar til oppgitte rekneuttrykk.,A,KM13260,http://psi.udir.no/kl06/KM13260,lage regneuttrykk til praktiske situasjoner og finne praktiske situasjoner som passer til oppgitte regneuttrykk,lage rekneuttrykk til praktiske situasjonar og finne praktiske situasjonar som passar til oppgitte rekneuttrykk,1.000,,
